"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"saibamos",-0.0112489181594407,0.00723703428710049,-0.00755693697728832,0.00153795160953979,-0.00166011355671525,0.00449358453235194,-0.00742141089992243,0.0088710928652807,-0.0175532038252846,0.00734835141899101,-0.00604765364498842,0.00794514157939277,-0.00303229396067964,0.00259736670480992,-0.0181426247083027,0.0112796413850946,-0.0136044533850802,0.0157782545694118,-0.0285248906461826,0.0303695100115622,-0.0260206284965971,0.019483297659434,-0.00311138372984917,-0.0985637019200855,0.00939413502687257,0.0340866224775904,-0.0159235082638898,0.0308500722956866,0.00359933373448969,-0.0305561097208638,-0.0480405620254777,0.0424828133085263,-0.0229220491347502,-0.0344510622412147,0.0373632418073248,0.0401185237678451,-0.0138672985847097,0.00686143295546691,-0.00854466618755033,0.0160536696587094,-0.024224964236722,0.000544241818433345,0.000180481295283125,-0.0182588919940296,0.00378484155018873,-0.00627378018084658,0.00471348266069824,-0.0133880715345957,0.00369941928873979,-0.00613868846245252
"todo",-0.0112489181594407,0.00723703428710082,-0.00755693697728688,0.00153795160953846,-0.00166011355671471,0.00449358453235169,-0.00742141089992331,0.00887109286528265,-0.0175532038252851,0.0073483514189908,-0.00604765364498736,0.00794514157939185,-0.00303229396067897,0.00259736670480993,-0.0181426247083002,0.0112796413850943,-0.0136044533850793,0.0157782545694125,-0.0285248906461822,0.030369510011563,-0.0260206284965974,0.0194832976594331,-0.00311138372984814,-0.0985637019200871,0.00939413502687268,0.0340866224775906,-0.0159235082638885,0.030850072295688,0.00359933373448921,-0.0305561097208648,-0.0480405620254767,0.0424828133085276,-0.0229220491347501,-0.0344510622412141,0.0373632418073222,0.0401185237678429,-0.0138672985847095,0.00686143295546586,-0.00854466618755013,0.0160536696587086,-0.0242249642367216,0.000544241818432629,0.000180481295282089,-0.0182588919940329,0.00378484155019109,-0.0062737801808479,0.00471348266069908,-0.0133880715345993,0.00369941928874044,-0.00613868846244642
"vivência",-0.0112489181594407,0.00723703428709979,-0.0075569369772886,0.00153795160954073,-0.0016601135567159,0.00449358453235281,-0.00742141089992391,0.00887109286528165,-0.0175532038252836,0.00734835141899007,-0.00604765364498706,0.00794514157939163,-0.00303229396067783,0.00259736670480936,-0.0181426247083008,0.011279641385095,-0.0136044533850807,0.0157782545694125,-0.0285248906461833,0.0303695100115645,-0.0260206284965966,0.0194832976594334,-0.00311138372984803,-0.0985637019200864,0.00939413502687275,0.0340866224775896,-0.0159235082638877,0.0308500722956872,0.00359933373448991,-0.0305561097208642,-0.0480405620254759,0.0424828133085266,-0.0229220491347499,-0.0344510622412141,0.0373632418073235,0.0401185237678446,-0.01386729858471,0.00686143295546831,-0.00854466618754886,0.0160536696587113,-0.024224964236723,0.000544241818432969,0.000180481295283409,-0.0182588919940317,0.00378484155018984,-0.00627378018084692,0.00471348266069779,-0.0133880715345956,0.0036994192887396,-0.00613868846245005
"desagradável",-0.0115717456692634,0.00741878459034177,-0.00764894636875074,0.00159376001785326,-0.00163902024974979,0.00458462898007875,-0.00761953011290131,0.00913287635347811,-0.0179875176670265,0.00750753853961419,-0.00628935895142577,0.00814790111823216,-0.00309531745549269,0.00259264096719006,-0.0186496610301091,0.0116415328997517,-0.0139778593514601,0.016201224320582,-0.0292913607773959,0.0311604347290051,-0.0267225822928236,0.0200001595462315,-0.00319958201303126,-0.101058196118944,0.00962931308880842,0.0349615616179485,-0.0162584514326369,0.0315823368650977,0.00368596561569423,-0.0312528761730227,-0.0491667658428259,0.0434950078223423,-0.0234562359814379,-0.0352532516130505,0.0382706907054761,0.0410984365551225,-0.014328295828746,0.00708321118360223,-0.00882848987107211,0.0163695381459698,-0.0248253062429357,0.000538414934327013,0.000202945384211306,-0.0187036557015054,0.00376836760189953,-0.00643420364692446,0.00487650376309844,-0.0136906414824867,0.00385727258499247,-0.00638470162518398
"efeito",-0.0115717456692634,0.00741878459034166,-0.0076489463687508,0.00159376001785314,-0.00163902024975002,0.004584628980078,-0.00761953011290201,0.00913287635347717,-0.0179875176670275,0.00750753853961389,-0.00628935895142618,0.00814790111823074,-0.00309531745549299,0.00259264096718991,-0.01864966103011,0.0116415328997515,-0.0139778593514615,0.0162012243205816,-0.0292913607773964,0.0311604347290041,-0.0267225822928226,0.0200001595462316,-0.00319958201303066,-0.101058196118945,0.00962931308880791,0.0349615616179478,-0.0162584514326366,0.0315823368650978,0.00368596561569417,-0.031252876173023,-0.0491667658428272,0.0434950078223418,-0.0234562359814372,-0.0352532516130519,0.0382706907054757,0.0410984365551216,-0.0143282958287446,0.00708321118360233,-0.00882848987107208,0.0163695381459703,-0.0248253062429354,0.000538414934327685,0.000202945384211836,-0.0187036557015061,0.00376836760189808,-0.00643420364692533,0.00487650376309781,-0.0136906414824868,0.003857272584991,-0.00638470162518423
"efêmero",-0.0115717456692634,0.00741878459034193,-0.00764894636874983,0.00159376001785552,-0.00163902024974955,0.00458462898008005,-0.00761953011290234,0.00913287635347846,-0.0179875176670261,0.00750753853961394,-0.00628935895142638,0.00814790111823164,-0.00309531745549288,0.00259264096719092,-0.0186496610301112,0.0116415328997518,-0.0139778593514606,0.0162012243205802,-0.0292913607773946,0.031160434729005,-0.0267225822928221,0.0200001595462317,-0.00319958201303154,-0.101058196118945,0.00962931308880819,0.0349615616179495,-0.0162584514326372,0.0315823368650984,0.00368596561569544,-0.0312528761730231,-0.0491667658428275,0.0434950078223417,-0.0234562359814375,-0.0352532516130525,0.0382706907054746,0.0410984365551203,-0.0143282958287455,0.00708321118360209,-0.00882848987107208,0.0163695381459706,-0.0248253062429359,0.000538414934326256,0.000202945384211296,-0.0187036557015072,0.00376836760189924,-0.00643420364692578,0.0048765037630986,-0.0136906414824856,0.00385727258499008,-0.00638470162518462
"estéticos",-0.0115717456692634,0.00741878459034163,-0.00764894636875132,0.00159376001785239,-0.00163902024974886,0.00458462898007886,-0.0076195301129006,0.00913287635347793,-0.017987517667028,0.00750753853961365,-0.00628935895142549,0.00814790111823058,-0.00309531745549289,0.00259264096719104,-0.0186496610301091,0.0116415328997509,-0.0139778593514609,0.0162012243205825,-0.0292913607773968,0.0311604347290053,-0.0267225822928226,0.0200001595462324,-0.00319958201303191,-0.101058196118944,0.00962931308880783,0.0349615616179485,-0.0162584514326366,0.0315823368650983,0.00368596561569373,-0.0312528761730222,-0.0491667658428265,0.0434950078223426,-0.0234562359814378,-0.0352532516130537,0.0382706907054758,0.041098436555121,-0.0143282958287446,0.00708321118360176,-0.00882848987107197,0.0163695381459697,-0.0248253062429349,0.000538414934326735,0.000202945384212801,-0.0187036557015058,0.00376836760189838,-0.00643420364692485,0.00487650376309973,-0.0136906414824877,0.00385727258498866,-0.00638470162518445
"estímulos",-0.0115717456692634,0.00741878459034172,-0.00764894636875081,0.001593760017854,-0.00163902024974948,0.0045846289800788,-0.00761953011290114,0.00913287635347762,-0.0179875176670271,0.00750753853961435,-0.00628935895142593,0.00814790111823216,-0.00309531745549303,0.00259264096719112,-0.0186496610301091,0.0116415328997514,-0.0139778593514606,0.0162012243205808,-0.0292913607773967,0.0311604347290053,-0.0267225822928227,0.0200001595462313,-0.00319958201303018,-0.101058196118945,0.00962931308880826,0.0349615616179471,-0.0162584514326365,0.0315823368650978,0.00368596561569428,-0.0312528761730228,-0.0491667658428254,0.0434950078223419,-0.0234562359814384,-0.0352532516130516,0.0382706907054761,0.0410984365551225,-0.0143282958287449,0.00708321118360219,-0.00882848987107186,0.0163695381459703,-0.0248253062429362,0.000538414934325861,0.000202945384212026,-0.0187036557015045,0.00376836760189914,-0.00643420364692443,0.00487650376309927,-0.0136906414824872,0.00385727258499202,-0.00638470162518387
"hindu",-0.0115717456692634,0.00741878459034163,-0.00764894636875139,0.00159376001785022,-0.0016390202497511,0.00458462898007843,-0.00761953011290301,0.00913287635347906,-0.0179875176670259,0.00750753853961364,-0.00628935895142468,0.00814790111823221,-0.00309531745549283,0.0025926409671907,-0.018649661030111,0.0116415328997514,-0.0139778593514599,0.0162012243205797,-0.0292913607773947,0.0311604347290058,-0.0267225822928231,0.0200001595462319,-0.00319958201302994,-0.101058196118945,0.0096293130888076,0.0349615616179491,-0.0162584514326369,0.0315823368650973,0.0036859656156941,-0.0312528761730232,-0.0491667658428258,0.0434950078223405,-0.0234562359814378,-0.0352532516130517,0.0382706907054758,0.0410984365551219,-0.014328295828747,0.007083211183602,-0.00882848987107202,0.0163695381459715,-0.0248253062429366,0.00053841493432578,0.00020294538421127,-0.0187036557015037,0.00376836760189929,-0.00643420364692539,0.00487650376309637,-0.0136906414824871,0.00385727258499441,-0.00638470162518348
"intelectuais",-0.0115717456692634,0.00741878459034176,-0.00764894636875037,0.00159376001785699,-0.00163902024975038,0.00458462898007742,-0.00761953011289929,0.00913287635347768,-0.017987517667028,0.00750753853961424,-0.00628935895142688,0.00814790111823069,-0.00309531745549133,0.00259264096719022,-0.0186496610301078,0.0116415328997524,-0.0139778593514629,0.0162012243205824,-0.029291360777397,0.0311604347290047,-0.0267225822928227,0.0200001595462318,-0.00319958201303052,-0.101058196118943,0.00962931308880844,0.0349615616179478,-0.0162584514326374,0.0315823368651005,0.00368596561569514,-0.0312528761730249,-0.0491667658428278,0.0434950078223429,-0.0234562359814376,-0.0352532516130504,0.0382706907054741,0.0410984365551198,-0.0143282958287459,0.00708321118360264,-0.00882848987107155,0.0163695381459719,-0.0248253062429373,0.000538414934326441,0.000202945384212274,-0.0187036557015054,0.00376836760189858,-0.00643420364692625,0.00487650376309676,-0.0136906414824849,0.00385727258499691,-0.00638470162518323
"intrinsecamente",-0.0115717456692634,0.00741878459034171,-0.00764894636875081,0.00159376001785405,-0.00163902024975114,0.00458462898007779,-0.00761953011290115,0.00913287635347894,-0.0179875176670264,0.0075075385396134,-0.00628935895142725,0.00814790111823163,-0.00309531745549181,0.00259264096718959,-0.0186496610301094,0.0116415328997528,-0.0139778593514608,0.0162012243205807,-0.0292913607773947,0.0311604347290061,-0.0267225822928228,0.020000159546233,-0.00319958201303041,-0.101058196118944,0.00962931308880871,0.0349615616179484,-0.016258451432636,0.0315823368650988,0.00368596561569402,-0.0312528761730229,-0.0491667658428259,0.0434950078223415,-0.0234562359814389,-0.035253251613051,0.0382706907054756,0.0410984365551217,-0.0143282958287463,0.00708321118360306,-0.00882848987107311,0.0163695381459718,-0.0248253062429349,0.00053841493432654,0.000202945384212315,-0.0187036557015045,0.00376836760189803,-0.00643420364692604,0.0048765037630964,-0.0136906414824876,0.0038572725849922,-0.0063847016251838
