"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"rapidamente",-0.0115717456692634,0.0074187845903417,-0.00764894636875083,0.00159376001785405,-0.00163902024974982,0.00458462898007755,-0.00761953011290148,0.0091328763534789,-0.0179875176670267,0.00750753853961317
"referir",-0.0115717456692634,0.0074187845903417,-0.00764894636875083,0.00159376001785408,-0.00163902024974989,0.00458462898007667,-0.0076195301129027,0.00913287635347743,-0.0179875176670268,0.00750753853961357
"satisfatória",-0.0115717456692634,0.0074187845903417,-0.00764894636875085,0.00159376001785382,-0.00163902024974918,0.00458462898007816,-0.00761953011290162,0.00913287635347827,-0.0179875176670264,0.00750753853961429
"sensação",-0.0115717456692634,0.0074187845903417,-0.00764894636875084,0.00159376001785395,-0.00163902024974955,0.00458462898007722,-0.00761953011290267,0.00913287635347759,-0.0179875176670261,0.00750753853961494
"sensoriais",-0.0115717456692634,0.0074187845903417,-0.00764894636875085,0.00159376001785384,-0.00163902024974899,0.00458462898007786,-0.00761953011290206,0.00913287635347762,-0.0179875176670266,0.00750753853961572
"sustenta",-0.0115717456692634,0.00741878459034171,-0.00764894636875085,0.00159376001785374,-0.00163902024975002,0.00458462898007817,-0.00761953011290151,0.00913287635347797,-0.0179875176670268,0.00750753853961408
"tende",-0.0115717456692634,0.0074187845903417,-0.00764894636875085,0.00159376001785374,-0.00163902024974977,0.00458462898007838,-0.00761953011290135,0.00913287635347745,-0.0179875176670274,0.00750753853961439
"diz",-0.0115071163620868,0.00735670898941145,-0.00758292488128516,0.00159641525780977,-0.00162009569569033,0.00454341669001351,-0.00759159193285016,0.00906931311404854,-0.0178738933398477,0.00744769377278128
"seleção",-0.00600826074906679,0.0030368287234938,-0.00101252075302482,0.00326986619347023,0.00198429616576995,0.00168302009799187,-0.00237667733059926,0.00275483665526904,-0.00236008305881402,0.00185408245113614
"aliás",-0.0150576016741597,0.00468307913550027,0.00559564751359587,0.0128331985385228,-0.0073443371610985,2.00614873775151e-05,-0.00441695512224695,0.00940440098416752,-0.0067539753693765,0.00657437565426053
"lixo",-0.0150576016741597,0.00468307913550026,0.00559564751359587,0.0128331985385228,-0.00734433716109807,2.00614873775726e-05,-0.00441695512224701,0.00940440098416707,-0.00675397536937693,0.00657437565425986
"reciclagem",-0.0150576016741597,0.00468307913550026,0.00559564751359587,0.0128331985385228,-0.00734433716109683,2.00614873784885e-05,-0.0044169551222461,0.00940440098417056,-0.00675397536937517,0.00657437565425906
"rua",-0.0150576016741597,0.00468307913550026,0.00559564751359587,0.0128331985385228,-0.00734433716109766,2.00614873778363e-05,-0.00441695512224654,0.00940440098416951,-0.00675397536937556,0.00657437565425997
"solução",-0.0150576016741597,0.00468307913550026,0.00559564751359587,0.0128331985385228,-0.00734433716109837,2.00614873774338e-05,-0.00441695512224702,0.00940440098416745,-0.00675397536937656,0.00657437565426013
"brasileiras",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021926,0.00470194551156318,-0.00865717399372024,0.00218077468799046,-0.00175953700487007,-0.000370941610650885
"chegada",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085144,-0.00189066583021916,0.00470194551156328,-0.0086571739937201,0.00218077468799188,-0.0017595370048689,-0.000370941610648942
"dinossauros",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021938,0.00470194551156309,-0.00865717399372038,0.00218077468798949,-0.00175953700487087,-0.000370941610653105
"habitado",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021936,0.00470194551156312,-0.00865717399372034,0.00218077468798963,-0.00175953700487068,-0.000370941610652495
"índio",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021934,0.00470194551156313,-0.00865717399372032,0.00218077468799006,-0.00175953700487044,-0.000370941610651801
"interessantes",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372032,0.00218077468799009,-0.00175953700487039,-0.000370941610651606
"mesmos",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.00175953700487049,-0.00037094161065194
"nascer",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372032,0.00218077468799,-0.00175953700487045,-0.000370941610651801
"pátrio",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798999,-0.00175953700487049,-0.000370941610651953
"porém",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.00175953700487049,-0.000370941610651957
"portugueses",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.0017595370048705,-0.000370941610651986
"primeiro",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798997,-0.00175953700487051,-0.000370941610652011
"quais",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.0017595370048705,-0.000370941610651992
"sim",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.0017595370048705,-0.000370941610651985
"terras",-0.00915248208385963,0.00377407855748498,0.00233913730414525,-0.00106611412085145,-0.00189066583021935,0.00470194551156313,-0.00865717399372033,0.00218077468798998,-0.0017595370048705,-0.000370941610651979
"afamado",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"dúzia",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778
"econômico",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778
"edificados",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"ganhar",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778
"hábito",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778
"inestimável",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778
"legou",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"lhe",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"mestre",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"obras",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"ocasião",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569778
"perder",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"português",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"prédios",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"residiu",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"rico",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"ríspido",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"terrenos",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"valeriam",-0.0171081709411815,0.0104408301755699,-0.00784239784562799,0.00369243381682926,0.00790962699159618,-0.00565188061355501,0.00225451516021824,-0.00788282626710654,-0.0167442128746766,-0.00315083212569777
"jogarem",-0.0153398365792494,0.0047541382093437,0.00571284311564492,0.0130170696119108,-0.00748182138285437,1.47172431130644e-05,-0.00447817518207572,0.00956554547043192,-0.00689300783420805,0.0066477758001686
