"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"efeito",-0.0115717456692634,0.00741878459034166,-0.0076489463687508,0.00159376001785314,-0.00163902024975002,0.004584628980078,-0.00761953011290201,0.00913287635347717,-0.0179875176670275,0.00750753853961389,-0.00628935895142618,0.00814790111823074,-0.00309531745549299,0.00259264096718991,-0.01864966103011,0.0116415328997515,-0.0139778593514615,0.0162012243205816,-0.0292913607773964,0.0311604347290041
"efêmero",-0.0115717456692634,0.00741878459034193,-0.00764894636874983,0.00159376001785552,-0.00163902024974955,0.00458462898008005,-0.00761953011290234,0.00913287635347846,-0.0179875176670261,0.00750753853961394,-0.00628935895142638,0.00814790111823164,-0.00309531745549288,0.00259264096719092,-0.0186496610301112,0.0116415328997518,-0.0139778593514606,0.0162012243205802,-0.0292913607773946,0.031160434729005
"estéticos",-0.0115717456692634,0.00741878459034163,-0.00764894636875132,0.00159376001785239,-0.00163902024974886,0.00458462898007886,-0.0076195301129006,0.00913287635347793,-0.017987517667028,0.00750753853961365,-0.00628935895142549,0.00814790111823058,-0.00309531745549289,0.00259264096719104,-0.0186496610301091,0.0116415328997509,-0.0139778593514609,0.0162012243205825,-0.0292913607773968,0.0311604347290053
"estímulos",-0.0115717456692634,0.00741878459034172,-0.00764894636875081,0.001593760017854,-0.00163902024974948,0.0045846289800788,-0.00761953011290114,0.00913287635347762,-0.0179875176670271,0.00750753853961435,-0.00628935895142593,0.00814790111823216,-0.00309531745549303,0.00259264096719112,-0.0186496610301091,0.0116415328997514,-0.0139778593514606,0.0162012243205808,-0.0292913607773967,0.0311604347290053
"hindu",-0.0115717456692634,0.00741878459034163,-0.00764894636875139,0.00159376001785022,-0.0016390202497511,0.00458462898007843,-0.00761953011290301,0.00913287635347906,-0.0179875176670259,0.00750753853961364,-0.00628935895142468,0.00814790111823221,-0.00309531745549283,0.0025926409671907,-0.018649661030111,0.0116415328997514,-0.0139778593514599,0.0162012243205797,-0.0292913607773947,0.0311604347290058
"intelectuais",-0.0115717456692634,0.00741878459034176,-0.00764894636875037,0.00159376001785699,-0.00163902024975038,0.00458462898007742,-0.00761953011289929,0.00913287635347768,-0.017987517667028,0.00750753853961424,-0.00628935895142688,0.00814790111823069,-0.00309531745549133,0.00259264096719022,-0.0186496610301078,0.0116415328997524,-0.0139778593514629,0.0162012243205824,-0.029291360777397,0.0311604347290047
"intrinsecamente",-0.0115717456692634,0.00741878459034171,-0.00764894636875081,0.00159376001785405,-0.00163902024975114,0.00458462898007779,-0.00761953011290115,0.00913287635347894,-0.0179875176670264,0.0075075385396134,-0.00628935895142725,0.00814790111823163,-0.00309531745549181,0.00259264096718959,-0.0186496610301094,0.0116415328997528,-0.0139778593514608,0.0162012243205807,-0.0292913607773947,0.0311604347290061
"neutra",-0.0115717456692634,0.0074187845903417,-0.00764894636875083,0.00159376001785372,-0.00163902024975107,0.004584628980078,-0.00761953011290092,0.00913287635347883,-0.0179875176670267,0.00750753853961345,-0.00628935895142638,0.00814790111823155,-0.00309531745549341,0.00259264096719074,-0.0186496610301096,0.011641532899752,-0.01397785935146,0.0162012243205809,-0.0292913607773955,0.031160434729006
"provérbio",-0.0115717456692634,0.0074187845903417,-0.00764894636875086,0.00159376001785352,-0.00163902024975138,0.00458462898007828,-0.00761953011290128,0.00913287635347779,-0.0179875176670271,0.00750753853961392,-0.00628935895142546,0.00814790111823219,-0.00309531745549234,0.00259264096719074,-0.0186496610301095,0.0116415328997515,-0.0139778593514609,0.0162012243205796,-0.029291360777397,0.0311604347290049
"rapidamente",-0.0115717456692634,0.0074187845903417,-0.00764894636875083,0.00159376001785405,-0.00163902024974982,0.00458462898007755,-0.00761953011290148,0.0091328763534789,-0.0179875176670267,0.00750753853961317,-0.00628935895142566,0.00814790111823299,-0.00309531745549314,0.00259264096719013,-0.0186496610301091,0.0116415328997515,-0.0139778593514604,0.0162012243205798,-0.0292913607773964,0.0311604347290056
"referir",-0.0115717456692634,0.0074187845903417,-0.00764894636875083,0.00159376001785408,-0.00163902024974989,0.00458462898007667,-0.0076195301129027,0.00913287635347743,-0.0179875176670268,0.00750753853961357,-0.00628935895142638,0.00814790111823296,-0.00309531745549348,0.00259264096719038,-0.0186496610301082,0.0116415328997522,-0.0139778593514618,0.0162012243205811,-0.0292913607773955,0.0311604347290052
"satisfatória",-0.0115717456692634,0.0074187845903417,-0.00764894636875085,0.00159376001785382,-0.00163902024974918,0.00458462898007816,-0.00761953011290162,0.00913287635347827,-0.0179875176670264,0.00750753853961429,-0.00628935895142621,0.0081479011182321,-0.00309531745549232,0.00259264096718982,-0.018649661030109,0.0116415328997526,-0.0139778593514611,0.0162012243205808,-0.0292913607773947,0.0311604347290057
"sensação",-0.0115717456692634,0.0074187845903417,-0.00764894636875084,0.00159376001785395,-0.00163902024974955,0.00458462898007722,-0.00761953011290267,0.00913287635347759,-0.0179875176670261,0.00750753853961494,-0.0062893589514276,0.00814790111823155,-0.00309531745549155,0.00259264096718975,-0.018649661030109,0.0116415328997532,-0.0139778593514606,0.0162012243205806,-0.0292913607773953,0.0311604347290053
"sensoriais",-0.0115717456692634,0.0074187845903417,-0.00764894636875085,0.00159376001785384,-0.00163902024974899,0.00458462898007786,-0.00761953011290206,0.00913287635347762,-0.0179875176670266,0.00750753853961572,-0.00628935895142682,0.00814790111823049,-0.00309531745549277,0.00259264096718971,-0.01864966103011,0.011641532899752,-0.0139778593514598,0.01620122432058,-0.029291360777396,0.0311604347290049
"sustenta",-0.0115717456692634,0.00741878459034171,-0.00764894636875085,0.00159376001785374,-0.00163902024975002,0.00458462898007817,-0.00761953011290151,0.00913287635347797,-0.0179875176670268,0.00750753853961408,-0.00628935895142647,0.00814790111823152,-0.0030953174554921,0.00259264096718986,-0.0186496610301101,0.0116415328997511,-0.0139778593514605,0.0162012243205805,-0.0292913607773959,0.0311604347290058
"tende",-0.0115717456692634,0.0074187845903417,-0.00764894636875085,0.00159376001785374,-0.00163902024974977,0.00458462898007838,-0.00761953011290135,0.00913287635347745,-0.0179875176670274,0.00750753853961439,-0.00628935895142572,0.00814790111823191,-0.00309531745549322,0.00259264096719108,-0.0186496610301092,0.0116415328997521,-0.0139778593514602,0.0162012243205805,-0.0292913607773961,0.0311604347290059
"diz",-0.0115071163620868,0.00735670898941145,-0.00758292488128516,0.00159641525780977,-0.00162009569569033,0.00454341669001351,-0.00759159193285016,0.00906931311404854,-0.0178738933398477,0.00744769377278128,-0.00626681295474288,0.00808027173652441,-0.00307412579569778,0.00254024929230702,-0.0185138816736232,0.0115277359128974,-0.0138603964633235,0.0160897547292382,-0.0290888265505057,0.0310025876966251
"seleção",-0.00600826074906679,0.0030368287234938,-0.00101252075302482,0.00326986619347023,0.00198429616576995,0.00168302009799187,-0.00237667733059926,0.00275483665526904,-0.00236008305881402,0.00185408245113614,0.00832353288845641,-0.0034495191230253,0.000548107877434756,-0.000750813240468707,-0.0010018458860496,0.0034026258392407,-0.0060927761571527,0.00132071669253269,-0.00559579105761726,0.00706315516937919
"aliás",-0.0150576016741597,0.00468307913550027,0.00559564751359587,0.0128331985385228,-0.0073443371610985,2.00614873775151e-05,-0.00441695512224695,0.00940440098416752,-0.0067539753693765,0.00657437565426053,0.0114657156482329,0.000923225796572974,-0.00305562338184399,-0.000736261981625935,-0.00833717538228607,8.59108328924163e-05,-0.0162534378520411,0.00430946137261176,-0.00250304659327594,0.00872894471239081
